# DAMSA Gap Distance Optimization Scan Results
# Gap[cm]  CsI_Z[cm]  TargetExitPhotons  TargetExitNeutrons  DetectorPhotons  DetectorNeutrons  ForwardPhotons  Efficiency[%]
      20         -33               38303                   394              1393                  6            1247           3.64
   30.00      -23.00               38514                   374              1376                 11            1242           3.57
   40.00      -13.00               37756                   354              1561                  9            1445           4.13
   47.00       -6.00               38013                   343              1979                  9            1910           5.21
   50.00       -3.00               38007                   374              1951                  8            1889           5.13
   60.00        7.00               38522                   367              2109                  9            2023           5.47
   70.00       17.00               37781                   359              2040                  8            1967           5.40
   80.00       27.00               37904                   382              1953                 17            1894           5.15
   90.00       37.00               38041                   389              2052                  9            1980           5.39
  100.00       47.00               37873                   359              2006                  9            1936           5.30
